grid,20,20
main,11,13,S,m,1
agent0,15,16,S,l1,1,0.921,0.12
agent1,16,13,E,l1,1,0.925,0.12
agent2,10,17,N,l1,1,0.353,0.12
agent3,3,9,E,l1,1,0.613,0.12
agent4,5,5,S,l1,1,0.117,0.12
agent5,5,11,W,l1,1,0.685,0.12
agent6,18,2,N,l1,1,0.47,0.12
item0,6,11,0
item1,1,4,0
item2,14,13,0
item3,12,16,0
item4,11,18,0
item5,2,17,0
item6,19,6,0
item7,3,1,0
item8,17,5,0
item9,5,18,0
item10,6,4,0
item11,6,2,0
item12,2,5,0
item13,3,16,0
item14,16,6,0
item15,7,4,0
item16,4,6,0
item17,12,2,0
item18,19,17,0
item19,6,1,0
