grid,20,20
main,4,7,W,m,1
agent0,18,4,N,l1,1,0.83,0.511
agent1,2,4,W,l1,1,0.347,0.511
agent2,11,14,W,l1,1,0.934,0.511
agent3,2,3,E,l1,1,0.265,0.511
agent4,14,2,E,l1,1,0.146,0.511
agent5,11,5,N,l1,1,0.673,0.511
agent6,17,4,W,l1,1,0.22,0.511
agent7,8,18,W,l1,1,0.383,0.511
item0,13,14,0
item1,3,18,0
item2,8,5,0
item3,18,7,0
item4,0,9,0
item5,19,2,0
item6,18,14,0
item7,5,14,0
item8,6,9,0
item9,4,6,0
item10,9,10,0
item11,14,6,0
item12,2,16,0
item13,10,5,0
item14,11,12,0
item15,6,5,0
item16,13,18,0
item17,14,9,0
item18,18,8,0
item19,15,15,0
