grid,20,20
main,4,8,S,m,1
agent0,16,7,N,l1,1,0.64,0.386
agent1,8,2,N,l1,1,0.275,0.386
agent2,12,6,N,l1,1,0.351,0.386
agent3,9,17,E,l1,1,0.929,0.386
agent4,13,15,W,l1,1,0.81,0.386
agent5,8,11,S,l1,1,0.532,0.386
agent6,10,3,E,l1,1,0.955,0.386
agent7,19,19,S,l1,1,0.67,0.386
item0,7,1,0
item1,2,5,0
item2,10,8,0
item3,1,7,0
item4,15,17,0
item5,2,17,0
item6,2,4,0
item7,0,7,0
item8,9,15,0
item9,11,16,0
item10,14,11,0
item11,18,15,0
item12,10,7,0
item13,9,8,0
item14,1,12,0
item15,8,8,0
item16,3,0,0
item17,15,8,0
item18,16,13,0
item19,10,0,0
