grid,20,20
main,9,8,W,m,1
agent0,9,7,E,l1,1,0.159,0.218
agent1,7,15,E,l1,1,0.93,0.218
agent2,2,19,N,l1,1,0.791,0.218
agent3,11,14,N,l1,1,0.904,0.218
agent4,16,12,N,l1,1,0.939,0.218
agent5,7,8,E,l1,1,0.898,0.218
agent6,8,0,W,l1,1,0.22,0.218
item0,14,12,0
item1,0,6,0
item2,9,14,0
item3,13,9,0
item4,16,9,0
item5,9,2,0
item6,14,10,0
item7,9,10,0
item8,3,8,0
item9,11,7,0
item10,7,10,0
item11,8,19,0
item12,2,10,0
item13,1,6,0
item14,8,8,0
item15,6,7,0
item16,17,12,0
item17,1,15,0
item18,16,16,0
item19,4,17,0
