grid,20,20
main,1,13,N,m,1
agent0,11,17,S,l1,1,0.452,0.288
agent1,6,2,W,l1,1,0.831,0.288
agent2,13,5,N,l1,1,0.918,0.288
agent3,7,8,W,l1,1,0.792,0.288
agent4,10,6,W,l1,1,0.845,0.288
agent5,17,14,N,l1,1,0.674,0.288
agent6,9,6,N,l1,1,0.778,0.288
agent7,8,17,S,l1,1,0.276,0.288
item0,5,16,0
item1,3,8,0
item2,15,16,0
item3,14,11,0
item4,19,7,0
item5,5,11,0
item6,11,14,0
item7,2,5,0
item8,15,7,0
item9,8,2,0
item10,15,18,0
item11,18,16,0
item12,4,8,0
item13,0,5,0
item14,19,18,0
item15,9,4,0
item16,14,0,0
item17,8,10,0
item18,13,10,0
item19,2,12,0
