grid,20,20
main,9,10,S,m,1
agent0,0,17,N,l1,1,0.969,0.441
agent1,11,2,N,l1,1,0.827,0.441
agent2,3,5,E,l1,1,0.735,0.441
agent3,11,12,N,l1,1,0.414,0.441
agent4,7,4,N,l1,1,0.785,0.441
agent5,13,14,N,l1,1,0.34,0.441
agent6,9,19,N,l1,1,0.547,0.441
agent7,10,1,S,l1,1,0.372,0.441
item0,6,18,0
item1,13,16,0
item2,2,11,0
item3,8,7,0
item4,11,3,0
item5,4,7,0
item6,19,5,0
item7,11,5,0
item8,2,17,0
item9,14,1,0
item10,17,3,0
item11,0,11,0
item12,17,14,0
item13,19,14,0
item14,10,9,0
item15,11,18,0
item16,9,13,0
item17,12,0,0
item18,2,8,0
item19,18,9,0
