grid,20,20
main,16,7,W,m,1
agent0,1,15,N,l1,1,0.138,0.455
agent1,2,1,N,l1,1,0.546,0.455
agent2,15,14,S,l1,1,0.62,0.455
agent3,4,13,N,l1,1,0.116,0.455
agent4,5,1,S,l1,1,0.97,0.455
agent5,0,12,S,l1,1,0.415,0.455
item0,13,17,0
item1,15,18,0
item2,6,15,0
item3,8,1,0
item4,15,11,0
item5,19,7,0
item6,19,16,0
item7,13,0,0
item8,2,17,0
item9,0,14,0
item10,17,19,0
item11,6,8,0
item12,8,15,0
item13,10,15,0
item14,7,19,0
item15,5,6,0
item16,8,2,0
item17,0,13,0
item18,19,6,0
item19,3,6,0
